plant_id,plant_name,datetime,installed_capacity_mw,actual_generation_mw,water_flow_m3s,turbine_efficiency,outage_flag
H01,Andean_Falls,2024-02-06 23:00:00,180.0,170.511,240.419,0.912,0
H02,River_Gate,2024-11-03 08:00:00,125.0,0.0,0.0,0.0,1
H01,Andean_Falls,2024-09-03 03:00:00,180.0,94.643,135.584,0.916,0
H02,River_Gate,2024-02-27 00:00:00,125.0,125.0,228.438,0.888,0
H02,River_Gate,2024-06-17 21:00:00,125.0,109.47,178.013,0.897,0
H02,River_Gate,2024-09-03 10:15:00,125.0,76.086,116.103,0.921,0
H01,Andean_Falls,2024-08-05 00:00:00,180.0,119.806,173.09,0.903,0
H01,Andean_Falls,2024-03-31 17:30:00,180.0,180.0,283.807,0.877,0
H02,River_Gate,2024-03-19 17:45:00,125.0,125.0,230.961,0.872,0
H03,Canyon_Run,2024-06-29 06:00:00,95.0,68.46,96.88,0.927,0
H01,Andean_Falls,2024-12-13 13:00:00,180.0,123.142,176.35,0.894,0
H02,River_Gate,2024-03-10 07:00:00,125.0,125.0,231.095,0.92,0
H03,Canyon_Run,2024-01-24 05:00:00,95.0,95.0,152.471,0.936,0
H02,River_Gate,2024-07-31 09:45:00,125.0,65.69,110.89,0.927,0
H02,River_Gate,2024-11-28 21:30:00,125.0,88.927,154.724,0.859,0
H03,Canyon_Run,2024-06-30 04:15:00,95.0,62.015,90.231,0.918,0
H03,Canyon_Run,2024-03-24 05:30:00,95.0,95.0,158.004,0.906,0
H02,River_Gate,2024-11-01 22:00:00,125.0,72.638,115.189,0.892,0
H01,Andean_Falls,2024-04-05 04:30:00,180.0,180.0,275.895,0.938,0
H01,Andean_Falls,2024-01-27 20:45:00,180.0,174.934,255.593,0.885,0
H03,Canyon_Run,2024-07-06 20:15:00,95.0,57.453,91.503,0.84,0
H01,Andean_Falls,2024-08-27 20:00:00,180.0,91.394,135.414,0.864,0
H02,River_Gate,2024-03-06 01:00:00,125.0,125.0,219.834,0.905,0
H03,Canyon_Run,2024-03-23 13:15:00,95.0,95.0,152.659,0.904,0
H01,Andean_Falls,2024-06-19 19:30:00,180.0,147.43,222.522,0.863,0
H01,Andean_Falls,2024-05-12 20:00:00,180.0,172.144,255.551,0.856,0
H03,Canyon_Run,2024-01-18 19:45:00,95.0,89.719,135.956,0.877,0
H03,Canyon_Run,2024-03-09 23:15:00,95.0,95.0,150.932,0.903,0
H01,Andean_Falls,2024-04-13 00:15:00,180.0,180.0,265.412,0.89,0
H03,Canyon_Run,2024-08-30 21:30:00,95.0,47.658,69.803,0.872,0
H02,River_Gate,2024-12-20 17:30:00,125.0,96.925,159.857,0.874,0
H03,Canyon_Run,2024-07-12 07:30:00,95.0,50.198,70.33,0.907,0
H01,Andean_Falls,2024-11-19 03:00:00,180.0,110.894,152.625,0.93,0
H03,Canyon_Run,2024-07-12 17:00:00,95.0,57.428,80.57,0.881,0
H03,Canyon_Run,2024-05-19 20:30:00,95.0,85.199,133.025,0.865,0
H01,Andean_Falls,2024-04-14 16:15:00,180.0,180.0,278.207,0.868,0
H02,River_Gate,2024-02-23 20:00:00,125.0,125.0,222.891,0.876,0
H03,Canyon_Run,2024-05-07 12:30:00,95.0,94.299,137.785,0.912,0
H02,River_Gate,2024-10-19 19:00:00,125.0,72.586,121.417,0.86,0
H03,Canyon_Run,2024-02-24 05:45:00,95.0,95.0,141.294,0.936,0
H01,Andean_Falls,2024-08-25 03:00:00,180.0,101.676,142.874,0.934,0
H01,Andean_Falls,2024-10-10 10:30:00,180.0,95.65,136.49,0.917,0
H01,Andean_Falls,2024-08-01 10:15:00,180.0,118.857,165.201,0.929,0
H02,River_Gate,2024-07-23 21:30:00,125.0,79.845,129.213,0.871,0
H02,River_Gate,2024-08-02 11:45:00,125.0,78.363,128.559,0.899,0
H02,River_Gate,2024-11-13 17:15:00,125.0,86.757,146.548,0.888,0
H02,River_Gate,2024-07-14 10:00:00,125.0,89.202,140.838,0.932,0
H03,Canyon_Run,2024-11-03 16:30:00,95.0,61.862,91.552,0.878,0
H03,Canyon_Run,2024-03-14 00:45:00,95.0,95.0,157.878,0.896,0
