river_basin,plant_id,datetime,reservoir_level_m,inflow_m3s,rainfall_mm,temperature_c
Basin_A,H01,2024-02-06 23:00:00,1249.716,259.017,0.304,20.435
Basin_B,H02,2024-11-03 08:00:00,979.931,133.103,0.658,13.109
Basin_A,H01,2024-09-03 03:00:00,1249.547,147.013,0.04,14.276
Basin_B,H02,2024-02-27 00:00:00,981.45,231.959,0.859,18.672
Basin_B,H02,2024-06-17 21:00:00,980.054,181.397,0.277,15.986
Basin_B,H02,2024-09-03 10:15:00,981.122,119.842,0.066,11.837
Basin_A,H01,2024-08-05 00:00:00,1250.073,175.261,0.217,16.001
Basin_A,H01,2024-03-31 17:30:00,1253.129,296.326,0.43,22.663
Basin_B,H02,2024-03-19 17:45:00,982.405,238.093,0.395,20.057
Basin_C,H03,2024-06-29 06:00:00,3097.754,97.095,0.04,14.354
Basin_A,H01,2024-12-13 13:00:00,1248.877,190.506,0.049,17.234
Basin_B,H02,2024-03-10 07:00:00,981.675,240.673,0.523,19.603
Basin_C,H03,2024-01-24 05:00:00,3101.138,156.857,0.589,16.321
Basin_B,H02,2024-07-31 09:45:00,981.03,124.157,0.117,15.498
Basin_B,H02,2024-11-28 21:30:00,980.818,154.364,0.403,14.453
Basin_C,H03,2024-06-30 04:15:00,3097.528,93.784,0.028,14.387
Basin_C,H03,2024-03-24 05:30:00,3101.532,164.727,0.464,17.729
Basin_B,H02,2024-11-01 22:00:00,980.145,131.256,0.0,12.654
Basin_A,H01,2024-04-05 04:30:00,1253.014,293.104,1.309,22.325
Basin_A,H01,2024-01-27 20:45:00,1250.903,264.978,0.28,19.11
Basin_C,H03,2024-07-06 20:15:00,3097.342,96.597,0.0,13.69
Basin_A,H01,2024-08-27 20:00:00,1250.119,153.334,0.0,15.078
Basin_B,H02,2024-03-06 01:00:00,981.454,236.019,1.086,20.011
Basin_C,H03,2024-03-23 13:15:00,3101.508,161.297,0.307,17.518
Basin_A,H01,2024-06-19 19:30:00,1249.495,241.201,0.246,18.633
Basin_A,H01,2024-05-12 20:00:00,1252.058,271.182,1.172,20.996
Basin_C,H03,2024-01-18 19:45:00,3101.119,154.969,0.789,15.374
Basin_C,H03,2024-03-09 23:15:00,3101.038,156.951,0.495,18.066
Basin_A,H01,2024-04-13 00:15:00,1252.424,288.518,1.127,21.625
Basin_C,H03,2024-08-30 21:30:00,3094.616,78.673,0.405,9.541
Basin_B,H02,2024-12-20 17:30:00,980.739,168.73,0.492,13.639
Basin_C,H03,2024-07-12 07:30:00,3096.902,87.009,0.038,13.387
Basin_A,H01,2024-11-19 03:00:00,1248.838,162.861,0.0,15.095
Basin_C,H03,2024-07-12 17:00:00,3096.815,84.972,0.324,13.963
Basin_C,H03,2024-05-19 20:30:00,3098.803,135.325,0.38,15.679
Basin_A,H01,2024-04-14 16:15:00,1252.618,297.544,0.6,21.201
Basin_B,H02,2024-02-23 20:00:00,981.46,237.313,1.051,19.725
Basin_C,H03,2024-05-07 12:30:00,3100.128,136.469,0.122,17.883
Basin_B,H02,2024-10-19 19:00:00,978.977,128.892,0.363,12.216
Basin_C,H03,2024-02-24 05:45:00,3101.375,153.784,0.393,18.215
Basin_A,H01,2024-08-25 03:00:00,1249.98,147.67,0.0,15.612
Basin_A,H01,2024-10-10 10:30:00,1249.938,146.327,0.0,14.357
Basin_A,H01,2024-08-01 10:15:00,1250.503,182.144,0.072,16.185
Basin_B,H02,2024-07-23 21:30:00,981.424,136.897,0.194,14.509
Basin_B,H02,2024-08-02 11:45:00,981.48,143.424,0.0,14.826
Basin_B,H02,2024-11-13 17:15:00,981.122,146.216,0.25,13.077
Basin_B,H02,2024-07-14 10:00:00,982.165,147.118,0.366,14.678
Basin_C,H03,2024-11-03 16:30:00,3095.862,103.735,0.418,9.398
Basin_C,H03,2024-03-14 00:45:00,3101.609,170.515,0.393,18.887
Basin_B,H02,2024-11-02 21:45:00,980.068,138.093,0.0,12.189
